,total_cup_points,species,country_of_origin,variety,aroma,aftertaste,acidity,body,balance,sweetness,altitude_mean_meters,moisture,specialty
345,83.58,Arabica,Colombia,Caturra,7.75,7.5,7.58,7.75,7.83,10.0,1550.0,0.0,Yes
346,83.58,Arabica,Taiwan,Typica,7.75,7.75,7.75,7.5,7.58,10.0,1000.0,0.11,Yes
347,83.58,Arabica,Colombia,Caturra,7.67,7.58,7.67,7.75,7.58,10.0,1775.0,0.11,Yes
348,83.58,Arabica,Mexico,Typica,7.83,7.58,7.58,7.67,7.58,10.0,1000.0,0.12,Yes
349,83.58,Arabica,Colombia,Caturra,7.67,7.58,7.58,7.67,7.75,10.0,2136.0,0.11,Yes
350,83.58,Arabica,Brazil,Catuai,7.83,7.5,7.75,7.5,7.58,10.0,1100.0,0.12,Yes
351,83.5,Arabica,Colombia,Caturra,7.75,7.58,7.75,7.75,7.5,10.0,1799.0,0.0,Yes
353,83.5,Arabica,Other,Caturra,7.92,7.5,7.67,7.5,7.67,10.0,1850.0,0.0,Yes
354,83.5,Arabica,Colombia,Caturra,7.75,7.58,7.5,7.75,7.75,10.0,1000.0,0.0,Yes
355,83.5,Arabica,Guatemala,Bourbon,7.67,7.5,7.83,7.58,7.58,10.0,1219.2,0.1,Yes
356,83.5,Arabica,Colombia,Caturra,7.58,7.58,7.58,7.75,7.67,10.0,1775.0,0.12,Yes
357,83.5,Arabica,Other,Other,7.75,7.58,7.67,7.67,7.58,10.0,1400.0,0.13,Yes
358,83.5,Arabica,Other,Other,7.25,7.58,7.92,7.83,7.58,10.0,1500.0,0.13,Yes
361,83.5,Arabica,Colombia,Caturra,8.0,7.25,7.58,7.92,7.58,10.0,1850.0,0.11,Yes
362,83.5,Arabica,Guatemala,Caturra,7.58,7.5,7.83,7.42,7.67,10.0,1400.0,0.1,Yes
363,83.5,Arabica,Colombia,Caturra,7.75,7.33,7.5,7.83,7.83,10.0,1650.0,0.0,Yes
364,83.5,Arabica,Other,Caturra,7.67,7.67,7.5,7.67,7.67,10.0,1350.0,0.1,Yes
365,83.5,Arabica,Colombia,Caturra,7.58,7.42,7.67,7.75,7.67,10.0,1750.0,0.0,Yes
366,83.5,Arabica,Colombia,Caturra,7.58,7.58,7.75,7.58,7.75,10.0,1750.0,0.11,Yes
367,83.5,Arabica,Mexico,Bourbon,7.83,7.25,7.5,7.5,7.42,10.0,1170.0,0.13,Yes
368,83.5,Arabica,Mexico,Typica,7.67,7.67,7.75,7.58,7.5,10.0,940.0,0.11,Yes
369,83.5,Arabica,Mexico,Other,7.75,7.67,7.75,7.33,7.5,10.0,1400.0,0.12,Yes
370,83.5,Arabica,Guatemala,Caturra,7.83,7.5,8.0,7.67,7.5,10.0,1524.0,0.1,Yes
371,83.5,Arabica,Colombia,Caturra,7.67,7.58,7.67,7.67,7.67,10.0,1775.0,0.11,Yes
372,83.5,Arabica,Guatemala,Bourbon,7.5,7.75,7.5,8.0,7.67,10.0,1402.08,0.0,Yes
375,83.42,Arabica,Colombia,Caturra,7.5,7.58,7.5,7.75,7.83,10.0,439.0,0.0,Yes
376,83.42,Arabica,Guatemala,Bourbon,7.67,7.5,7.58,7.58,7.67,10.0,1700.0,0.1,Yes
377,83.42,Arabica,Colombia,Caturra,7.67,7.5,7.67,7.67,7.58,10.0,442.0,0.11,Yes
378,83.42,Arabica,Other,Caturra,7.58,7.42,7.92,7.5,7.67,10.0,1850.0,0.09,Yes
380,83.42,Arabica,Other,Other,7.58,7.33,7.75,7.67,7.58,10.0,1800.0,0.11,Yes
381,83.42,Arabica,Other,Other,7.5,7.75,7.5,7.75,7.67,10.0,1200.0,0.13,Yes
382,83.42,Arabica,Other,Bourbon,7.58,7.75,7.58,7.75,7.67,10.0,1330.0,0.11,Yes
383,83.42,Arabica,Colombia,Caturra,7.58,7.58,7.67,7.58,7.67,10.0,442.0,0.12,Yes
385,83.42,Arabica,Other,Bourbon,7.75,7.58,7.67,7.58,7.58,10.0,1600.0,0.13,Yes
386,83.42,Arabica,Colombia,Caturra,7.58,7.25,7.75,7.75,8.58,10.0,1813.0,0.12,Yes
387,83.42,Arabica,Guatemala,Bourbon,7.75,7.33,7.83,7.5,7.67,10.0,1219.2,0.1,Yes
388,83.42,Arabica,Guatemala,Caturra,7.67,7.5,7.83,7.58,7.5,10.0,1500.0,0.1,Yes
389,83.42,Arabica,Guatemala,Bourbon,7.67,7.75,7.42,7.75,7.75,10.0,1310.64,0.11,Yes
391,83.42,Arabica,Colombia,Caturra,7.5,7.58,7.5,7.67,7.75,10.0,1450.0,0.11,Yes
396,83.33,Arabica,Colombia,Caturra,7.75,7.75,7.58,7.58,7.58,10.0,1650.0,0.0,Yes
399,83.33,Arabica,Brazil,Catuai,7.5,7.33,7.58,7.58,7.92,10.0,1227.0,0.1,Yes
400,83.33,Arabica,Mexico,Caturra,7.75,7.5,7.67,7.5,7.58,10.0,1200.0,0.12,Yes
401,83.33,Arabica,Colombia,Caturra,7.67,7.42,7.83,7.83,7.42,10.0,1650.0,0.11,Yes
402,83.33,Arabica,Other,Other,7.75,7.67,7.58,7.58,7.58,10.0,1700.0,0.12,Yes
403,83.33,Arabica,Mexico,Other,7.67,7.58,7.67,7.5,7.58,10.0,1100.0,0.12,Yes
404,83.33,Arabica,Other,Caturra,7.67,7.42,7.67,7.67,7.67,10.0,1300.0,0.12,Yes
406,83.33,Arabica,Other,Catuai,7.5,7.67,7.5,7.83,7.17,10.0,1200.0,0.11,Yes
408,83.33,Arabica,Other,Typica,7.58,7.67,7.5,7.83,7.42,10.0,1280.16,0.11,Yes
409,83.33,Arabica,Colombia,Caturra,7.67,7.5,7.67,7.92,7.42,10.0,1000.0,0.11,Yes
410,83.33,Arabica,Guatemala,Bourbon,7.83,7.17,7.67,7.67,7.67,10.0,1310.64,0.11,Yes
412,83.33,Arabica,Other,Bourbon,7.75,7.33,7.5,7.5,7.75,10.0,1880.0,0.0,Yes
413,83.33,Arabica,Colombia,Caturra,7.5,7.67,7.58,7.67,7.58,10.0,1750.0,0.0,Yes
416,83.25,Arabica,Mexico,Typica,7.67,7.42,7.83,7.33,7.5,10.0,1600.0,0.11,Yes
417,83.25,Arabica,Other,Catuai,7.5,7.83,7.5,7.67,7.67,10.0,1900.0,0.11,Yes
419,83.25,Arabica,Guatemala,Other,7.5,7.42,7.83,7.67,7.58,10.0,2100.0,0.11,Yes
422,83.25,Arabica,Colombia,Caturra,7.58,7.67,7.17,7.75,7.83,10.0,442.0,0.0,Yes
423,83.25,Arabica,Mexico,Typica,7.83,7.5,7.58,7.58,7.58,10.0,1261.0,0.12,Yes
424,83.25,Arabica,Taiwan,Bourbon,7.67,7.5,7.5,7.67,7.83,10.0,1000.0,0.1,Yes
425,83.25,Arabica,Taiwan,Typica,7.92,7.75,7.58,7.5,7.33,10.0,800.0,0.1,Yes
426,83.25,Arabica,Colombia,Caturra,7.58,7.5,7.58,7.58,7.75,10.0,1483.0,0.0,Yes
427,83.25,Arabica,Guatemala,Caturra,7.5,7.58,7.67,7.67,7.5,10.0,1500.0,0.1,Yes
428,83.25,Arabica,Colombia,Caturra,7.83,7.67,7.33,7.67,7.67,10.0,1750.0,0.11,Yes
429,83.25,Arabica,Mexico,Bourbon,7.58,7.5,7.5,7.58,7.58,10.0,1300.0,0.12,Yes
432,83.25,Arabica,Mexico,Caturra,7.75,7.42,7.92,7.33,7.5,10.0,1000.0,0.12,Yes
433,83.25,Arabica,Guatemala,Bourbon,7.83,7.08,7.83,7.42,8.08,10.0,1310.64,0.11,Yes
434,83.25,Arabica,Brazil,Other,7.75,7.5,7.58,7.58,7.58,10.0,1200.0,0.11,Yes
435,83.25,Arabica,Colombia,Caturra,7.67,7.58,7.42,7.83,7.58,10.0,175.0,0.12,Yes
436,83.25,Arabica,Colombia,Caturra,7.67,7.5,7.5,7.58,7.67,10.0,1775.0,0.11,Yes
440,83.17,Arabica,Brazil,Bourbon,7.67,7.5,7.58,7.67,7.58,10.0,890.0,0.11,Yes
441,83.17,Arabica,Guatemala,Bourbon,7.58,7.33,7.67,7.75,7.58,10.0,1901.0,0.1,Yes
442,83.17,Arabica,Other,Bourbon,7.67,7.42,7.67,7.67,7.58,10.0,168.0,0.12,Yes
444,83.17,Arabica,Other,Other,7.58,7.08,7.33,7.58,8.58,10.0,1550.0,0.07,Yes
445,83.17,Arabica,Guatemala,Caturra,7.67,7.42,7.75,7.58,7.5,10.0,1500.0,0.11,Yes
446,83.17,Arabica,Other,Catuai,7.67,7.5,7.67,7.5,7.67,10.0,1450.0,0.11,Yes
447,83.17,Arabica,Other,Other,7.5,7.33,7.67,7.67,7.67,10.0,1200.0,0.11,Yes
448,83.17,Arabica,Other,Other,7.67,7.5,7.67,7.42,7.58,10.0,1600.0,0.1,Yes
449,83.17,Arabica,Other,Bourbon,7.5,7.33,7.67,8.0,7.67,10.0,1350.0,0.0,Yes
450,83.17,Arabica,Guatemala,Bourbon,7.5,7.5,7.83,7.58,7.5,10.0,1500.0,0.11,Yes
451,83.17,Arabica,Guatemala,Bourbon,7.92,7.42,7.75,7.5,7.5,10.0,1650.0,0.12,Yes
452,83.17,Arabica,Other,Other,7.83,7.67,7.75,7.83,8.5,9.33,250.5,0.1,Yes
454,83.17,Arabica,Other,Other,7.58,7.67,7.58,7.42,7.58,10.0,1653.0,0.13,Yes
455,83.17,Arabica,Colombia,Caturra,7.58,7.5,7.67,7.5,7.67,10.0,1775.0,0.0,Yes
456,83.17,Arabica,Other,Other,8.0,7.5,7.42,7.33,7.58,10.0,1800.0,0.1,Yes
458,83.17,Arabica,Other,Catuai,7.5,7.5,7.67,7.67,7.67,10.0,1450.0,0.1,Yes
459,83.17,Arabica,Other,Caturra,7.67,7.5,7.67,7.5,7.67,10.0,1350.0,0.11,Yes
460,83.17,Arabica,Guatemala,Catuai,7.33,7.17,8.17,7.33,7.67,10.0,1524.0,0.09,Yes
462,83.17,Arabica,Other,Bourbon,7.58,7.58,7.75,7.58,7.58,10.0,1800.0,0.12,Yes
463,83.17,Arabica,Guatemala,Bourbon,7.67,7.33,7.67,7.5,7.67,10.0,1310.64,0.11,Yes
464,83.17,Arabica,Mexico,Typica,7.75,7.58,7.58,7.5,7.42,10.0,1500.0,0.11,Yes
465,83.17,Arabica,Mexico,Typica,7.75,7.58,7.5,7.42,7.58,10.0,532.0,0.12,Yes
466,83.17,Arabica,Mexico,Other,7.58,7.42,7.67,7.5,7.58,10.0,1089.0,0.14,Yes
467,83.17,Arabica,Colombia,Caturra,7.67,7.5,7.5,7.58,8.17,10.0,1775.0,0.11,Yes
468,83.17,Arabica,Mexico,Typica,7.75,7.42,7.75,7.58,7.58,10.0,700.0,0.13,Yes
469,83.17,Arabica,Colombia,Caturra,7.58,7.5,7.58,7.67,7.67,10.0,1750.0,0.11,Yes
470,83.17,Arabica,Mexico,Typica,7.5,7.58,7.58,7.67,7.5,10.0,1380.0,0.11,Yes
471,83.17,Arabica,Brazil,Other,7.75,7.58,7.5,7.58,7.58,10.0,1000.0,0.12,Yes
472,83.17,Arabica,Brazil,Other,7.92,7.5,7.58,7.42,7.5,10.0,950.0,0.11,Yes
473,83.17,Arabica,Guatemala,Bourbon,7.75,7.67,7.5,7.92,8.0,9.33,1402.08,0.0,Yes
474,83.17,Arabica,Brazil,Other,7.75,7.58,7.5,7.75,7.5,10.0,1000.0,0.12,Yes
478,83.08,Arabica,Colombia,Caturra,7.58,7.33,7.67,7.75,7.58,10.0,1799.0,0.0,Yes
480,83.08,Arabica,Brazil,Other,7.58,7.58,7.5,7.67,7.58,10.0,905.0,0.11,Yes
481,83.08,Arabica,Brazil,Other,7.33,7.67,7.33,7.75,7.42,10.0,1.0,0.0,Yes
482,83.08,Arabica,Taiwan,Typica,7.83,7.5,7.83,7.67,7.25,10.0,750.0,0.0,Yes
484,83.08,Arabica,Brazil,Bourbon,7.58,7.67,7.42,7.42,7.5,10.0,1200.0,0.0,Yes
485,83.08,Arabica,Other,Catuai,7.83,7.5,7.67,7.58,7.67,10.0,1300.0,0.1,Yes
487,83.08,Arabica,Taiwan,Typica,7.75,7.5,7.5,7.5,7.5,10.0,1300.0,0.11,Yes
489,83.08,Arabica,Mexico,Other,7.75,7.42,7.75,7.5,7.5,10.0,1400.0,0.1,Yes
492,83.08,Arabica,Colombia,Caturra,7.33,7.33,7.58,7.25,8.08,10.0,1775.0,0.01,Yes
496,83.0,Arabica,Brazil,Bourbon,7.58,7.5,7.75,7.67,7.5,10.0,890.0,0.0,Yes
497,83.0,Arabica,Brazil,Bourbon,7.5,7.58,7.67,7.58,7.5,10.0,894.0,0.11,Yes
498,83.0,Arabica,Brazil,Bourbon,7.5,7.58,7.67,7.58,7.42,10.0,872.0,0.11,Yes
499,83.0,Arabica,Other,Bourbon,7.67,7.42,7.42,7.83,7.5,10.0,1473.0,0.12,Yes
500,83.0,Arabica,Other,Bourbon,7.67,7.5,7.58,7.42,7.5,10.0,1645.0,0.12,Yes
502,83.0,Arabica,Other,Caturra,7.75,7.58,7.58,7.42,7.67,10.0,1550.0,0.0,Yes
503,83.0,Arabica,Guatemala,Catuai,7.67,7.33,7.92,7.42,7.5,10.0,1550.0,0.11,Yes
504,83.0,Arabica,Guatemala,Catuai,7.75,7.33,7.75,7.5,7.42,10.0,1371.6,0.11,Yes
505,83.0,Arabica,Guatemala,Bourbon,7.83,7.25,7.67,7.75,7.5,10.0,1500.0,0.11,Yes
506,83.0,Arabica,Brazil,Catuai,7.67,7.67,7.5,7.42,7.5,10.0,1000.0,0.0,Yes
507,83.0,Arabica,Taiwan,Typica,7.92,7.83,7.58,7.33,7.25,10.0,1200.0,0.08,Yes
508,83.0,Arabica,Other,Other,7.83,7.5,7.5,7.58,7.5,10.0,1800.0,0.12,Yes
509,83.0,Arabica,Other,Other,7.67,7.67,7.83,7.75,7.83,9.33,853.44,0.0,Yes
510,83.0,Arabica,Guatemala,Bourbon,7.67,7.42,7.83,7.5,7.5,10.0,1500.0,0.1,Yes
511,83.0,Arabica,Other,Catuai,7.67,7.5,7.58,7.5,7.5,10.0,1200.0,0.11,Yes
512,83.0,Arabica,Brazil,Other,7.75,7.42,7.67,7.42,7.67,10.0,1250.0,0.12,Yes
513,83.0,Arabica,Colombia,Caturra,7.75,7.33,7.5,7.58,7.17,10.0,1775.0,0.11,Yes
514,83.0,Arabica,Colombia,Caturra,7.83,7.58,7.33,7.5,7.67,10.0,1750.0,0.0,Yes
515,83.0,Arabica,Colombia,Caturra,7.33,7.75,7.42,7.75,7.58,10.0,1000.0,0.11,Yes
516,83.0,Arabica,Colombia,Caturra,7.58,7.42,7.67,7.58,7.42,10.0,1000.0,0.0,Yes
517,83.0,Arabica,Colombia,Caturra,7.5,7.42,7.58,7.75,7.58,10.0,1775.0,0.11,Yes
518,83.0,Arabica,Mexico,Typica,7.67,7.42,7.5,7.67,7.58,10.0,750.0,0.11,Yes
519,83.0,Arabica,Mexico,Typica,7.67,7.5,7.58,7.58,7.67,10.0,1200.0,0.11,Yes
520,83.0,Arabica,Mexico,Bourbon,7.5,7.5,7.5,7.58,7.58,10.0,1200.0,0.11,Yes
522,83.0,Arabica,Colombia,Caturra,7.75,7.5,7.67,7.83,7.75,10.0,1625.0,0.0,Yes
523,83.0,Arabica,Colombia,Caturra,7.67,7.58,7.58,7.67,7.42,10.0,1750.0,0.11,Yes
524,83.0,Arabica,Guatemala,Bourbon,7.5,7.5,7.67,7.5,7.83,10.0,1371.6,0.1,Yes
525,83.0,Arabica,Colombia,Caturra,7.67,7.58,7.5,7.67,7.42,10.0,1775.0,0.12,Yes
533,82.92,Arabica,Brazil,Bourbon,7.67,7.5,7.58,7.58,7.5,10.0,890.0,0.0,Yes
534,82.92,Arabica,Other,Bourbon,7.5,7.75,7.58,7.92,7.83,9.33,1350.0,0.0,Yes
535,82.92,Arabica,Colombia,Caturra,7.58,7.5,7.33,7.67,7.58,10.0,1500.0,0.11,Yes
536,82.92,Arabica,Taiwan,Caturra,7.17,7.25,7.67,7.67,7.58,10.0,350.0,0.09,Yes
537,82.92,Arabica,Other,Other,7.58,7.5,7.5,7.58,7.58,10.0,2000.0,0.0,Yes
538,82.92,Arabica,Taiwan,Typica,7.5,7.67,7.33,7.5,7.75,10.0,775.0,0.0,Yes
539,82.92,Arabica,Other,Other,7.58,7.67,7.58,7.5,7.5,10.0,1200.0,0.11,Yes
540,82.92,Arabica,Other,Other,8.08,7.67,7.42,7.33,7.5,10.0,1600.0,0.0,Yes
541,82.92,Arabica,Mexico,Typica,7.83,7.25,7.58,7.5,7.5,10.0,1059.0,0.13,Yes
542,82.92,Arabica,Mexico,Bourbon,7.75,7.42,7.42,7.75,7.5,10.0,1300.0,0.12,Yes
543,82.92,Arabica,Brazil,Other,7.08,7.5,7.83,7.75,7.67,10.0,11000.0,0.11,Yes
544,82.92,Arabica,Other,Other,8.0,7.5,7.58,7.33,7.42,10.0,1650.0,0.12,Yes
545,82.92,Arabica,Other,Other,7.75,7.58,7.5,7.5,7.5,10.0,1400.0,0.12,Yes
546,82.92,Arabica,Guatemala,Bourbon,7.75,7.42,7.58,7.67,7.5,10.0,1500.0,0.1,Yes
547,82.92,Arabica,Guatemala,Caturra,7.67,7.42,7.5,7.33,7.5,10.0,1500.0,0.1,Yes
549,82.92,Arabica,Colombia,Caturra,7.58,7.75,7.33,7.58,7.58,10.0,1900.0,0.11,Yes
550,82.92,Arabica,Colombia,Caturra,7.75,7.25,7.5,7.75,7.5,10.0,1750.0,0.0,Yes
551,82.92,Arabica,Guatemala,Bourbon,7.83,7.25,7.92,7.5,7.17,10.0,1706.88,0.11,Yes
552,82.92,Arabica,Colombia,Other,7.83,7.42,7.42,7.5,7.58,10.0,1450.0,0.11,Yes
553,82.92,Arabica,Mexico,Typica,7.58,7.33,7.25,7.58,7.75,10.0,1248.0,0.1,Yes
554,82.92,Arabica,Other,Other,7.67,7.17,7.58,8.08,7.42,10.0,1040.0,0.0,Yes
555,82.92,Arabica,Mexico,Typica,8.0,7.67,7.17,7.67,7.42,10.0,1400.0,0.14,Yes
559,82.83,Arabica,Other,Other,7.75,7.42,7.58,7.5,7.5,10.0,1754.0,0.1,Yes
560,82.83,Arabica,Guatemala,Bourbon,7.5,7.33,7.67,7.58,7.58,10.0,1700.0,0.11,Yes
561,82.83,Arabica,Brazil,Other,7.67,7.58,7.5,7.5,7.42,10.0,905.0,0.11,Yes
562,82.83,Arabica,Other,Other,7.33,7.67,7.83,7.33,7.67,10.0,1250.0,0.0,Yes
563,82.83,Arabica,Other,Bourbon,7.83,7.75,7.83,7.75,7.75,9.33,1900.0,0.11,Yes
564,82.83,Arabica,Other,Other,7.25,7.5,7.42,7.75,7.42,10.0,1040.0,0.11,Yes
565,82.83,Arabica,Guatemala,Bourbon,7.58,7.33,7.67,7.67,7.5,10.0,1219.2,0.11,Yes
566,82.83,Arabica,Brazil,Catuai,7.58,7.33,7.67,7.42,7.33,10.0,900.0,0.12,Yes
567,82.83,Arabica,Colombia,Other,7.83,7.5,7.58,7.5,7.67,10.0,1600.0,0.0,Yes
568,82.83,Arabica,Other,Other,7.42,7.25,7.5,7.75,7.75,10.0,1200.0,0.0,Yes
569,82.83,Arabica,Guatemala,Bourbon,7.67,7.75,7.67,7.42,7.17,10.0,1500.0,0.1,Yes
570,82.83,Arabica,Colombia,Typica,7.5,7.58,7.5,7.58,7.58,10.0,1800.0,0.0,Yes
571,82.83,Arabica,Colombia,Caturra,7.83,7.5,7.42,7.5,7.5,10.0,1775.0,0.11,Yes
572,82.83,Arabica,Other,Other,7.67,7.33,7.25,7.58,7.75,10.0,1400.0,0.11,Yes
573,82.83,Arabica,Mexico,Caturra,7.58,7.5,7.58,7.5,7.5,10.0,1550.0,0.12,Yes
574,82.83,Arabica,Mexico,Bourbon,7.67,7.42,7.75,7.42,7.42,10.0,1250.0,0.12,Yes
575,82.83,Arabica,Guatemala,Bourbon,7.67,7.33,7.5,7.33,7.92,10.0,1310.64,0.11,Yes
576,82.83,Arabica,Mexico,Typica,7.58,7.5,7.42,7.67,7.58,10.0,1380.0,0.11,Yes
578,82.75,Arabica,Guatemala,Caturra,7.5,7.42,7.67,7.58,7.5,10.0,1100.0,0.1,Yes
579,82.75,Arabica,Guatemala,Caturra,7.58,7.5,7.58,7.5,7.42,10.0,1800.0,0.11,Yes
580,82.75,Arabica,Guatemala,Bourbon,7.5,7.17,7.67,7.67,7.58,10.0,1700.0,0.11,Yes
581,82.75,Arabica,Guatemala,Bourbon,7.5,7.42,7.58,7.67,7.5,10.0,1219.2,0.1,Yes
582,82.75,Arabica,Guatemala,Bourbon,7.42,7.42,7.67,7.5,7.5,10.0,1219.2,0.1,Yes
583,82.75,Arabica,Other,Other,7.5,7.42,7.58,7.58,7.5,10.0,1500.0,0.12,Yes
584,82.75,Arabica,Guatemala,Bourbon,7.58,7.33,7.58,7.33,7.67,10.0,157.8864,0.12,Yes
585,82.75,Arabica,Taiwan,Other,7.83,7.33,7.67,7.58,7.67,10.0,650.0,0.0,Yes
586,82.75,Arabica,Other,Bourbon,7.67,7.17,7.33,7.58,7.67,10.0,1250.0,0.0,Yes
587,82.75,Arabica,Other,Caturra,7.58,7.42,7.67,7.42,7.5,10.0,1850.0,0.09,Yes
588,82.75,Arabica,Other,Caturra,7.58,7.42,7.58,7.5,7.5,10.0,1400.0,0.09,Yes
589,82.75,Arabica,Brazil,Other,7.5,7.58,7.5,7.58,7.58,10.0,905.0,0.11,Yes
590,82.75,Arabica,Other,Other,7.67,7.33,7.33,7.67,7.67,10.0,1100.0,0.1,Yes
591,82.75,Arabica,Other,Other,7.5,7.42,7.67,7.5,7.5,10.0,1500.0,0.11,Yes
592,82.75,Arabica,Colombia,Caturra,7.5,7.58,7.75,7.33,7.5,10.0,1775.0,0.0,Yes
593,82.75,Arabica,Other,Other,7.75,7.42,7.5,7.33,7.5,10.0,1442.0,0.12,Yes
594,82.75,Arabica,Guatemala,Other,7.75,7.25,7.75,7.5,7.67,10.0,1524.0,0.13,Yes
595,82.75,Arabica,Colombia,Typica,7.67,7.42,7.58,7.33,7.67,10.0,165.0,0.12,Yes
598,82.75,Arabica,Colombia,Caturra,7.58,7.17,7.33,7.25,8.58,10.0,1300.0,0.1,Yes
599,82.75,Arabica,Mexico,Typica,7.58,7.5,7.5,7.5,7.5,10.0,1550.0,0.12,Yes
600,82.75,Arabica,Mexico,Typica,7.58,7.33,7.75,7.25,7.58,10.0,1200.0,0.12,Yes
601,82.75,Arabica,Mexico,Typica,8.08,8.0,8.0,7.83,7.92,10.0,1200.0,0.12,Yes
602,82.75,Arabica,Colombia,Caturra,7.5,7.42,7.67,7.5,7.58,10.0,1625.0,0.0,Yes
603,82.75,Arabica,Colombia,Caturra,7.67,7.58,7.58,7.5,7.42,10.0,1775.0,0.11,Yes
605,82.75,Arabica,Other,Catuai,7.42,7.5,7.58,7.5,7.75,10.0,1100.0,0.0,Yes
607,82.67,Arabica,Brazil,Bourbon,7.5,7.25,7.75,7.58,7.5,10.0,890.0,0.0,Yes
608,82.67,Arabica,Brazil,Bourbon,7.5,7.5,7.67,7.5,7.42,10.0,934.0,0.11,Yes
609,82.67,Arabica,Other,Other,7.67,7.42,7.42,7.42,7.5,10.0,1300.0,0.13,Yes
610,82.67,Arabica,Other,Other,7.67,7.67,7.67,7.5,7.67,9.33,1200.0,0.0,Yes
613,82.67,Arabica,Brazil,Other,7.58,7.42,7.67,7.5,7.5,10.0,1.0,0.0,Yes
615,82.67,Arabica,Other,Other,7.5,7.5,7.5,7.5,7.58,10.0,1700.0,0.12,Yes
616,82.67,Arabica,Other,Bourbon,7.58,7.5,7.58,7.33,7.58,10.0,1550.0,0.12,Yes
617,82.67,Arabica,Taiwan,Typica,8.0,7.83,7.42,7.25,7.25,10.0,1200.0,0.08,Yes
618,82.67,Arabica,Mexico,Typica,7.67,7.42,7.5,7.42,7.5,10.0,1296.0,0.11,Yes
619,82.67,Arabica,Other,Other,7.67,7.33,7.67,7.5,7.5,10.0,1650.0,0.12,Yes
620,82.67,Arabica,Taiwan,Typica,7.67,7.5,7.5,7.5,7.5,10.0,1240.0,0.11,Yes
621,82.67,Arabica,Other,Caturra,7.42,7.5,7.67,7.58,7.5,10.0,1500.0,0.11,Yes
622,82.67,Arabica,Colombia,Caturra,7.75,7.67,7.25,7.58,7.42,10.0,1800.0,0.11,Yes
624,82.67,Arabica,Guatemala,Caturra,7.67,7.17,7.67,7.5,7.5,10.0,1500.0,0.11,Yes
626,82.67,Arabica,Mexico,Other,7.58,7.42,7.58,7.42,7.5,10.0,1100.0,0.11,Yes
627,82.67,Arabica,Mexico,Typica,7.5,7.58,7.58,7.42,7.42,10.0,950.0,0.12,Yes
630,82.67,Arabica,Mexico,Other,7.75,7.25,7.75,7.67,7.58,10.0,1400.0,0.0,Yes
633,82.58,Arabica,Guatemala,Bourbon,7.5,7.42,7.75,7.5,7.5,10.0,1219.2,0.1,Yes
634,82.58,Arabica,Taiwan,Typica,7.67,7.5,7.42,7.58,7.5,10.0,1050.0,0.11,Yes
638,82.58,Arabica,Other,Typica,7.83,7.42,7.33,7.42,7.5,10.0,1250.0,0.13,Yes
640,82.58,Arabica,Other,Caturra,7.42,7.58,7.42,7.58,7.5,10.0,1450.0,0.12,Yes
641,82.58,Arabica,Other,Other,7.75,7.33,7.5,7.58,7.5,10.0,1317.0,0.12,Yes
642,82.58,Arabica,Other,Other,7.83,7.42,7.58,7.42,7.42,10.0,1650.0,0.12,Yes
643,82.58,Arabica,Other,Catuai,7.67,7.5,7.67,7.0,7.75,10.0,1300.0,0.11,Yes
646,82.58,Arabica,Colombia,Caturra,7.75,7.33,7.42,7.5,7.83,10.0,1750.0,0.11,Yes
647,82.58,Arabica,Colombia,Caturra,7.75,7.75,7.25,7.33,7.58,10.0,1750.0,0.11,Yes
648,82.58,Arabica,Colombia,Caturra,7.58,7.42,7.58,7.67,7.42,10.0,1750.0,0.11,Yes
649,82.58,Arabica,Mexico,Typica,7.5,7.5,7.5,7.42,7.5,10.0,1250.0,0.1,Yes
650,82.58,Arabica,Mexico,Typica,7.67,7.58,7.75,7.67,6.83,10.0,1150.0,0.12,Yes
651,82.58,Arabica,Colombia,Caturra,7.33,7.58,7.42,7.67,7.5,10.0,1775.0,0.11,Yes
652,82.58,Arabica,Brazil,Other,7.58,7.33,7.75,7.5,7.5,10.0,975.0,0.0,Yes
653,82.5,Arabica,Brazil,Bourbon,7.5,7.5,7.5,7.58,7.5,10.0,890.0,0.11,Yes
654,82.5,Arabica,Other,Other,7.83,7.25,7.5,7.42,7.33,10.0,1250.0,0.11,Yes
655,82.5,Arabica,Other,Caturra,7.58,7.33,7.5,7.5,7.5,10.0,1400.0,0.1,Yes
656,82.5,Arabica,Guatemala,Bourbon,7.5,7.33,7.5,7.67,7.5,10.0,1219.2,0.1,Yes
658,82.5,Arabica,Other,Caturra,7.33,7.5,7.5,7.67,7.5,10.0,1450.0,0.11,Yes
659,82.5,Arabica,Other,Other,7.67,7.33,7.58,7.5,7.5,10.0,1600.0,0.12,Yes
661,82.5,Arabica,Mexico,Other,7.42,7.5,7.67,7.25,7.5,10.0,1600.0,0.0,Yes
662,82.5,Arabica,Brazil,Other,7.42,7.67,7.33,7.42,7.67,10.0,1260.0,0.11,Yes
663,82.5,Arabica,Guatemala,Bourbon,7.83,7.33,7.67,7.42,7.5,10.0,1310.64,0.12,Yes
664,82.5,Arabica,Colombia,Caturra,7.5,7.42,7.42,7.58,7.58,10.0,1750.0,0.11,Yes
665,82.5,Arabica,Guatemala,Bourbon,7.83,7.17,7.33,7.5,7.67,10.0,1310.64,0.11,Yes
666,82.5,Arabica,Mexico,Typica,7.5,7.5,7.5,7.42,7.42,10.0,1679.0,0.13,Yes
